method,seed,endurance_min,mission_time_min,energy_Wh,completed,mean_comp_time,final_soc,fuel_used_Wh,fuel_remaining_Wh,mean_wind,max_wind
baseline_fixed,0,107.95,39.18333333333333,210.31861642468846,True,,0.1999899189058535,194.75093380995057,55.24906619004943,3.137317339499022,9.713508132419658
baseline_offline,0,123.4,39.18333333333333,239.73155392468246,True,,0.2120981989368028,250.00771893387872,-0.007718933878720691,3.1794085883675627,10.214075579018951
aemcf,0,124.33333333333333,40.25,241.29834839070207,True,0.0015652249643431395,0.1999949525808354,249.94941999159988,0.050580008400118004,3.179157383678016,10.214075579018951
aemcf_nowind,0,124.25,38.68333333333333,241.33958857919876,True,0.0017026656688126165,0.19998712302595045,249.9882633446285,0.011736655371493043,3.179416938199538,10.214075579018951
baseline_fixed,1,107.96666666666667,39.18333333333333,210.34698116398258,True,,0.19988876837158376,194.77734407610834,55.222655923891665,3.228403110821701,10.910107524280594
baseline_offline,1,123.4,39.18333333333333,239.72818949730993,True,,0.21210855475762525,250.00393397076573,-0.0039339707657291,3.226707070463789,10.910107524280594
aemcf,1,124.45,40.016666666666666,241.2950444569731,True,0.0015949843996251262,0.19997232738584494,249.95864788014825,0.04135211985175147,3.2219262101823314,10.910107524280594
aemcf_nowind,1,124.25,38.68333333333333,241.33958857919876,True,0.0014879853692822294,0.1999932352143696,249.9698337904092,0.03016620959078864,3.2206217990652757,10.910107524280594
baseline_fixed,2,107.95,38.88333333333333,210.3161030631576,True,,0.19999888171911906,194.75056521139643,55.249434788603565,3.2344369660927237,9.994915442283796
baseline_offline,2,123.4,38.88333333333333,239.7290405631516,True,,0.21210593514828588,250.00904705329268,-0.009047053292675855,3.2158044104699792,9.994915442283796
aemcf,2,124.71666666666667,39.5,241.28591928706217,True,0.0015496201643724697,0.19997299500711804,249.9853361383777,0.014663861622295826,3.213717877069015,9.994915442283796
aemcf_nowind,2,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0015281445779238003,0.19991868959939302,250.00819270055894,-0.008192700558936394,3.2118116453945427,9.994915442283796
baseline_fixed,3,107.95,38.016666666666666,210.31746558618352,True,,0.19999402287199197,194.74833357210474,55.25166642789526,3.0350900747507708,10.094369940811497
baseline_offline,3,123.4,38.016666666666666,239.73040308617752,True,,0.21210174125650003,250.00309665195218,-0.0030966519521768987,3.0645904433553257,10.094369940811497
aemcf,3,123.45,38.35,241.42034583290175,True,0.0014992437958684678,0.1999292062627235,250.0154363898696,-0.015436389869591949,3.0637623276217596,10.094369940811497
aemcf_nowind,3,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0014714127664968947,0.19992572731344752,250.00951970044653,-0.009519700446531942,3.071620580624369,10.094369940811497
baseline_fixed,4,107.96666666666667,36.93333333333333,210.34643994749442,True,,0.19989069838533546,194.7764147924002,55.2235852075998,3.141219948932864,10.129891960449191
baseline_offline,4,123.4,36.93333333333333,239.72764828082177,True,,0.21211022064021,250.00264637675497,-0.00264637675496715,3.0998962567913546,10.129891960449191
aemcf,4,124.3,37.46666666666667,241.33753103432602,True,0.00151230319777419,0.1999440558278422,250.0023080279103,-0.0023080279102885015,3.092407158153366,10.129891960449191
aemcf_nowind,4,124.25,38.68333333333333,241.33958857919876,True,0.001464115837424665,0.1999826912972047,249.96698714211198,0.03301285788802488,3.0931221637126596,10.129891960449191
baseline_fixed,5,107.96666666666667,38.65,210.3455346060086,True,,0.19989392689288665,194.77963020878346,55.22036979121654,3.26406307927182,9.906325541932343
baseline_offline,5,123.4,38.65,239.72674293933594,True,,0.21211300731181038,250.01064937650375,-0.010649376503749863,3.2427637989277107,10.013386786096218
aemcf,5,123.48333333333333,39.266666666666666,241.39477457436112,True,0.0015590514467540846,0.1999029239425575,250.00924093915324,-0.009240939153244199,3.242553230526524,10.013386786096218
aemcf_nowind,5,124.25,38.68333333333333,241.33958857919876,True,0.0016966881840373056,0.1999916159280724,249.98947443603237,0.010525563967632934,3.237617330391223,10.013386786096218
baseline_fixed,6,107.95,39.03333333333333,210.3172854263542,True,,0.19999466533384813,194.7505887275643,55.24941127243571,3.201970283020295,11.13739630895736
baseline_offline,6,123.4,39.03333333333333,239.7302229263482,True,,0.21210229579452652,250.0082190901184,-0.00821909011838784,3.1776744427457846,11.13739630895736
aemcf,6,123.95,39.6,241.35033620477327,True,0.0015890966875087606,0.19991027517689908,249.97826837123864,0.02173162876135848,3.1803302078455764,11.13739630895736
aemcf_nowind,6,124.25,38.68333333333333,241.33958857919876,True,0.0016074211725015258,0.19998086201944149,249.9782960654884,0.02170393451160635,3.180281561274844,11.13739630895736
baseline_fixed,7,107.95,39.5,210.31748320285033,True,,0.1999939600497972,194.7498291632767,55.2501708367233,3.1548225306066144,9.442027398838595
baseline_offline,7,123.4,39.5,239.73042070284433,True,,0.2121016870318065,250.00596825920988,-0.005968259209879534,3.1714167018420274,9.442027398838595
aemcf,7,125.03333333333333,40.53333333333333,241.2581600624546,True,0.0015405865025325729,0.19996768918497815,249.96917579768703,0.030824202312970783,3.164958677249699,9.442027398838595
aemcf_nowind,7,124.25,38.68333333333333,241.33958857919876,True,0.0016533607101275349,0.19999121469754522,249.98945207219683,0.010547927803173707,3.169487366428627,9.442027398838595
baseline_fixed,8,107.96666666666667,39.416666666666664,210.34741827640906,True,,0.19988720959979123,194.77865154840424,55.22134845159576,3.195740679747273,10.503874800431515
baseline_offline,8,123.4,39.416666666666664,239.7286266097364,True,,0.21210720931084925,250.00633592235408,-0.006335922354082868,3.1694612903856405,10.503874800431515
aemcf,8,124.88333333333334,40.05,241.25806976660763,True,0.0015501919675697182,0.1999976559336296,249.9664144321506,0.03358556784939992,3.181801739492645,10.503874800431515
aemcf_nowind,8,124.25,38.68333333333333,241.33958857919876,True,0.0017183070878608602,0.20005129374103128,250.00451939710376,-0.004519397103763367,3.178497093728116,10.503874800431515
baseline_fixed,9,107.95,38.333333333333336,210.32175956255472,True,,0.19997871026856573,194.7529485441515,55.24705145584849,3.1082146360317595,10.108089909775742
baseline_offline,9,123.4,38.333333333333336,239.73469706254872,True,,0.21208852425253807,250.00932819962068,-0.009328199620682653,3.10513178554993,10.480566129330322
aemcf,9,124.5,38.93333333333333,241.31350865292924,True,0.0015330306064259874,0.19992077848129416,249.97354411182673,0.026455888173273934,3.1087530063423525,10.480566129330322
aemcf_nowind,9,124.25,38.68333333333333,241.33958857919876,True,0.0016514768244133655,0.1999974420450989,249.99061713343403,0.009382866565971426,3.1111988339161525,10.480566129330322
baseline_fixed,10,107.96666666666667,39.05,210.34645108442123,True,,0.19989065867031963,194.7758419327402,55.22415806725979,3.17132739769799,9.251305490699284
baseline_offline,10,123.4,39.05,239.72765941774858,True,,0.21211018636037582,250.00108997150707,-0.0010899715070706861,3.139137717357701,9.343192859446777
aemcf,10,124.51666666666667,39.7,241.30131543634482,True,0.001519695433007855,0.19998087285263433,249.97513908986812,0.024860910131877745,3.136546335980426,9.343192859446777
aemcf_nowind,10,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0015902432533531213,0.19990444208112823,250.02498857514698,-0.02498857514697761,3.138013436247527,9.343192859446777
baseline_fixed,11,107.95,37.5,210.32420943980114,True,,0.1999699738444516,194.75568671351846,55.24431328648154,3.2553287223146894,9.833470820539532
baseline_offline,11,123.4,37.5,239.73714693979517,True,,0.2120809834478207,250.01355011394264,-0.013550113942642383,3.257327733679149,9.833470820539532
aemcf,11,124.05,38.25,241.36121085519676,True,0.0015320530335884205,0.19994368862344847,250.0118726192415,-0.01187261924150107,3.2635935381042622,9.833470820539532
aemcf_nowind,11,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0014921121680529501,0.1999333227826963,250.01207531978852,-0.012075319788522165,3.269421141228785,9.833470820539532
baseline_fixed,12,107.96666666666667,37.31666666666667,210.34362626870018,True,,0.19990073214980497,194.7769902602602,55.22300973973981,3.0821675644871407,9.592197729778947
baseline_offline,12,123.4,37.31666666666667,239.72483460202753,True,,0.21211888123835043,250.00701576055445,-0.007015760554452299,3.103506919642831,9.592197729778947
aemcf,12,123.98333333333333,37.95,241.3410935391086,True,0.0014883799482456749,0.19997352228838905,249.9894192209686,0.0105807790313861,3.105084674684791,9.592197729778947
