method,seed,endurance_min,mission_time_min,energy_Wh,completed,mean_comp_time,final_soc,fuel_used_Wh,fuel_remaining_Wh,mean_wind,max_wind
baseline_offline,5,123.4,38.666666666666664,239.72676435636677,True,,0.21211294138947034,250.00828519991273,-0.008285199912734242,2.139863430818613,6.123225900944897
aemcf,5,124.78333333333333,39.016666666666666,241.31971812879542,True,0.0020334375227735887,0.19989938741446883,250.0260749279246,-0.026074927924611302,2.1431179526048396,6.123225900944897
aemcf_nowind,5,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0022544185473451356,0.19990490090039345,250.0244843520353,-0.024484352035301526,2.14232051575779,6.123225900944897
baseline_fixed,6,107.96666666666667,39.28333333333333,210.34598955037978,True,,0.199892304531203,194.77648905264732,55.22351094735268,2.0807423042174036,7.305870318236196
baseline_offline,6,123.4,39.28333333333333,239.72719788370713,True,,0.21211160697770814,250.00309637850785,-0.003096378507848385,2.0623945579416096,7.305870318236196
aemcf,6,124.7,39.6,241.2974385167668,True,0.002028732333201029,0.19998512936459015,249.97824461106202,0.021755388937975795,2.0674765273585654,7.305870318236196
aemcf_nowind,6,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0018474677052044194,0.19990318615535094,250.00226689724323,-0.0022668972432313694,2.0705582194107404,7.305870318236196
baseline_fixed,7,107.95,39.516666666666666,210.32162010594146,True,,0.19997920758006316,194.7525273707018,55.24747262929819,2.0434161517854252,5.859229335918303
baseline_offline,7,123.4,39.516666666666666,239.73455760593546,True,,0.212088953504696,250.0082615047867,-0.00826150478670229,2.06267172804791,5.859229335918303
aemcf,7,125.16666666666667,40.0,241.2790010630182,True,0.0019527835719017144,0.19994992282112664,249.99118520305558,0.008814796944420777,2.05989385840058,5.859229335918303
aemcf_nowind,7,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0017958822113727849,0.1999031473563003,250.00227983026258,-0.0022798302625801625,2.0636663573779797,5.859229335918303
baseline_fixed,8,107.96666666666667,39.35,210.33970389090757,True,,0.19991471960814766,194.7713927591721,55.2286072408279,2.076193447524223,7.499999999999999
baseline_offline,8,123.41666666666667,39.35,239.75264139090157,True,,0.21203329100520932,250.03037184024657,-0.030371840246573356,2.03966525342103,7.499999999999999
aemcf,8,125.51666666666667,39.75,241.2484547386403,True,0.00202291756804914,0.1999401924007644,249.99486856286694,0.00513143713305908,2.0570700612393678,7.499999999999999
aemcf_nowind,8,124.26666666666667,38.68333333333333,241.3713177458654,True,0.002034317886398246,0.19990315934513622,250.00227583398242,-0.002275833982423592,2.047029917264568,7.499999999999999
baseline_fixed,9,107.96666666666667,38.28333333333333,210.34722814293605,True,,0.19988788762831744,194.7759209528429,55.22407904715709,1.9394994934114884,5.905600123681482
baseline_offline,9,123.4,38.28333333333333,239.7284364762634,True,,0.21210779454808337,250.00069167991896,-0.0006916799189582434,1.9382025363610722,5.905600123681482
aemcf,9,124.28333333333333,38.55,241.36355967199805,True,0.001932617241383253,0.19989739423844005,250.00167789520881,-0.0016778952088145616,1.9442125857210117,5.905600123681482
aemcf_nowind,9,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0018158348606503894,0.19990311283480625,250.00229133742653,-0.002291337426527207,1.9440162686931328,5.905600123681482
baseline_fixed,10,107.96666666666667,38.96666666666667,210.34336403799125,True,,0.19990166728183822,194.77214033937443,55.22785966062557,1.9984237008710495,5.428126259656878
baseline_offline,10,123.41666666666667,38.96666666666667,239.75630153798525,True,,0.21202202494915226,250.02878258032175,-0.028782580321745854,1.9846160765345342,6.036972165153071
aemcf,10,125.2,39.333333333333336,241.28794531341265,True,0.0019854950816025705,0.19993457216834915,250.008054577833,-0.00805457783300767,1.9896685798954084,6.036972165153071
aemcf_nowind,10,124.26666666666667,38.68333333333333,241.3713177458654,True,0.002166190752814426,0.1998996153942296,250.02431103079067,-0.02431103079067043,1.986934239389561,6.036972165153071
baseline_fixed,11,107.95,37.55,210.3190866215829,True,,0.19998824215266386,194.7505195879958,55.2494804120042,2.2209118275301183,7.16525849624195
baseline_offline,11,123.4,37.55,239.73202412157693,True,,0.21209675165491623,250.00676470107126,-0.006764701071261925,2.177224210096641,7.16525849624195
aemcf,11,124.63333333333334,38.083333333333336,241.31592526441048,True,0.002182317569000047,0.19993787223829268,249.98869218454217,0.01130781545782611,2.186311685201114,7.16525849624195
aemcf_nowind,11,124.25,38.68333333333333,241.33958857919876,True,0.0023056010566076257,0.19990971377119413,249.97008918444175,0.029910815558253034,2.181497141538146,7.16525849624195
baseline_fixed,12,107.96666666666667,37.11666666666667,210.34204899963748,True,,0.19990635679548685,194.7752253952032,55.224774604796806,1.997205200068306,6.138895795328076
baseline_offline,12,123.4,37.11666666666667,239.72325733296483,True,,0.21212373612567026,250.00462504340808,-0.004625043408083229,2.0050125843520314,6.138895795328076
aemcf,12,123.98333333333333,37.46666666666667,241.343047393384,True,0.0020436297919094316,0.19994608896543928,249.96501951510288,0.03498048489711891,2.004010899352793,6.138895795328076
aemcf_nowind,12,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0019898161398893923,0.19990246143981155,250.00253171980611,-0.002531719806114552,2.0024998084888903,6.138895795328076
baseline_fixed,13,107.96666666666667,37.43333333333333,210.3460830150997,True,,0.19989197122983626,194.77732162048406,55.22267837951594,1.9417556390164514,5.964463058300751
baseline_offline,13,123.4,37.43333333333333,239.72729134842706,True,,0.21211131929014904,250.00503681439008,-0.00503681439008119,1.9015069184016882,5.964463058300751
aemcf,13,124.9,37.516666666666666,241.306968067288,True,0.0018334182029609888,0.1999141506250642,250.0025437705812,-0.0025437705812123568,1.9156760870185832,5.964463058300751
aemcf_nowind,13,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0019293811308990364,0.19990266904021442,250.00244092560155,-0.0024409256015474057,1.9055148792463354,5.964463058300751
baseline_fixed,14,107.95,38.233333333333334,210.32046528974635,True,,0.19998332573090938,194.7537801648792,55.2462198351208,2.2156017026306105,6.66407770754682
baseline_offline,14,123.4,38.233333333333334,239.73340278974035,True,,0.21209250806785537,250.01247950910124,-0.012479509101240183,2.1830822438433954,7.110047882295382
aemcf,14,124.6,38.71666666666667,241.30125931513496,True,0.0018413964606742795,0.19995269771590796,249.96702611007407,0.03297388992592687,2.174348400670338,7.110047882295382
