method,endurance_mean,endurance_std,energy_mean,energy_std,completion_rate,comp_time_mean
aemcf,124.58533333333332,0.5654312262824989,241.31731585268412,0.044389565475011425,100.0,0.0018189027572508701
aemcf_nowind,124.25800000000001,0.008411200825078622,241.35481857919876,0.016012823570704868,100.0,0.00186902257696787
baseline_fixed,107.96400000000001,0.006172133998489278,210.33891881597862,0.009676690860782922,100.0,
baseline_offline,123.40966666666667,0.008309489698396103,239.74360673263928,0.013795797998867432,100.0,
